,0,1,2
13137,Tactic,Attack in the Middle,Normal
13138,Tactic skill,10,(no tactic)
13139,Style of play,90% Offensive,100% Offensive
13140,Average ratings,Average ratings,Average ratings
13141,Total player experience,550,475
13142,Average midfield,900,575
13143,Average defence,600,1000
13144,Average attack,600,975
13145,Total average,700,850
13146,Midfield,425,700
13147,Right defence,550,875
13148,Central defence,925,1275
13149,Left defence,575,900
13150,Right attack,650,950
13151,Central attack,800,775
13152,Left attack,625,800
13153,Indirect set pieces,Indirect set pieces,Indirect set pieces
13154,Defence,550,875
13155,Attack,550,825
13156,Match plan,Match plan,Match plan
13157,Team attitude,(Hidden),(Hidden)
13158,Tactic,Normal,Attack on wings
13159,Tactic skill,(no tactic),17
13160,Style of play,Neutral,Neutral
13161,Average ratings,Average ratings,Average ratings
13162,Total player experience,350,525
13163,Average midfield,425,700
13164,Average defence,675,1025
13165,Average attack,700,825
13166,Total average,600,850
13167,Midfield,850,425
13168,Right defence,475,1200
13169,Central defence,650,1275
13170,Left defence,375,1250
13171,Right attack,525,650
13172,Central attack,550,1175
13173,Left attack,375,575
13174,Indirect set pieces,Indirect set pieces,Indirect set pieces
13175,Defence,600,1025
13176,Attack,525,925
13177,Match plan,Match plan,Match plan
13178,Team attitude,(Hidden),(Hidden)
13179,Tactic,Play creatively,Counter-attacks
13180,Tactic skill,11,8
13181,Style of play,100% Offensive,Neutral
13182,Average ratings,Average ratings,Average ratings
13183,Total player experience,475,575
13184,Average midfield,850,425
13185,Average defence,500,1250
13186,Average attack,475,800
13187,Total average,600,825
13188,Midfield,625,600
13189,Right defence,1075,1575
13190,Central defence,1175,1775
13191,Left defence,1075,1575
13192,Right attack,475,875
13193,Central attack,750,625
13194,Left attack,625,725
13195,Indirect set pieces,Indirect set pieces,Indirect set pieces
13196,Defence,650,975
13197,Attack,525,600
13198,Match plan,Match plan,Match plan
13199,Team attitude,(Hidden),(Hidden)
13200,Tactic,Play creatively,Counter-attacks
13201,Tactic skill,14,16
13202,Style of play,Neutral,Neutral
13203,Average ratings,Average ratings,Average ratings
13204,Total player experience,725,525
13205,Average midfield,625,600
13206,Average defence,1100,1650
13207,Average attack,625,750
13208,Total average,775,1000
13209,Midfield,375,775
13210,Right defence,500,600
13211,Central defence,475,675
13212,Left defence,500,575
13213,Right attack,475,625
13214,Central attack,625,900
13215,Left attack,525,650
13216,Indirect set pieces,Indirect set pieces,Indirect set pieces
13217,Defence,475,550
13218,Attack,525,500
13219,Match plan,Match plan,Match plan
13220,Team attitude,(Hidden),(Hidden)
13221,Tactic,Normal,Attack in the Middle
13222,Tactic skill,(no tactic),15
13223,Style of play,100% Defensive,100% Offensive
13224,Average ratings,Average ratings,Average ratings
13225,Total player experience,425,450
13226,Average midfield,375,775
13227,Average defence,500,625
13228,Average attack,550,725
13229,Total average,475,700
13230,Midfield,300,725
13231,Right defence,625,1125
13232,Central defence,750,1250
13233,Left defence,725,1200
13234,Right attack,400,375
13235,Central attack,425,725
13236,Left attack,475,700
13237,Indirect set pieces,Indirect set pieces,Indirect set pieces
13238,Defence,600,650
13239,Attack,450,500
13240,Match plan,Match plan,Match plan
13241,Team attitude,(Hidden),(Hidden)
13242,Tactic,Attack in the Middle,Normal
13243,Tactic skill,9,(no tactic)
13244,Style of play,100% Offensive,100% Offensive
13245,Average ratings,Average ratings,Average ratings
13246,Total player experience,350,575
13247,Average midfield,300,725
13248,Average defence,700,1200
13249,Average attack,425,600
13250,Total average,475,850
13251,Midfield,650,750
13252,Right defence,650,1150
13253,Central defence,1275,1000
13254,Left defence,625,1175
13255,Right attack,625,1000
13256,Central attack,875,500
13257,Left attack,825,800
13258,Indirect set pieces,Indirect set pieces,Indirect set pieces
13259,Defence,750,1050
13260,Attack,850,800
13261,Match plan,Match plan,Match plan
13262,Team attitude,(Hidden),(Hidden)
13263,Tactic,Attack in the Middle,Normal
13264,Tactic skill,11,(no tactic)
13265,Style of play,100% Offensive,100% Offensive
13266,Average ratings,Average ratings,Average ratings
13267,Total player experience,725,600
13268,Average midfield,650,750
13269,Average defence,850,1100
13270,Average attack,775,775
13271,Total average,750,875
13272,Midfield,450,725
13273,Right defence,875,1175
13274,Central defence,925,1100
13275,Left defence,875,1150
13276,Right attack,975,850
13277,Central attack,875,750
13278,Left attack,950,1125
13279,Indirect set pieces,Indirect set pieces,Indirect set pieces
13280,Defence,675,675
13281,Attack,700,600
13282,Match plan,Match plan,Match plan
13283,Team attitude,(Hidden),(Hidden)
13284,Tactic,Attack on wings,Normal
13285,Tactic skill,16,(no tactic)
13286,Style of play,20% Offensive,Neutral
13287,Average ratings,Average ratings,Average ratings
13288,Total player experience,675,775
13289,Average midfield,450,725
13290,Average defence,900,1150
13291,Average attack,925,900
13292,Total average,750,925
13293,Midfield,950,800
13294,Right defence,525,700
13295,Central defence,1125,675
13296,Left defence,575,900
13297,Right attack,550,800
13298,Central attack,1400,900
13299,Left attack,825,900
13300,Indirect set pieces,Indirect set pieces,Indirect set pieces
13301,Defence,625,975
13302,Attack,600,875
13303,Match plan,Match plan,Match plan
13304,Team attitude,(Hidden),(Hidden)
13305,Tactic,Attack in the Middle,Normal
13306,Tactic skill,12,(no tactic)
13307,Style of play,100% Offensive,Neutral
13308,Average ratings,Average ratings,Average ratings
13309,Total player experience,675,450
13310,Average midfield,950,800
13311,Average defence,750,750
13312,Average attack,925,850
13313,Total average,875,800
13314,Midfield,750,775
13315,Right defence,800,650
13316,Central defence,1000,900
13317,Left defence,525,625
13318,Right attack,800,625
13319,Central attack,675,1100
13320,Left attack,550,650
13321,Indirect set pieces,Indirect set pieces,Indirect set pieces
13322,Defence,600,675
13323,Attack,600,575
13324,Match plan,Match plan,Match plan
13325,Team attitude,(Hidden),(Hidden)
13326,Tactic,Counter-attacks,Normal
13327,Tactic skill,11,(no tactic)
13328,Style of play,Neutral,100% Offensive
13329,Average ratings,Average ratings,Average ratings
13330,Total player experience,475,550
13331,Average midfield,750,775
13332,Average defence,775,725
13333,Average attack,675,800
13334,Total average,725,775
13335,Midfield,700,625
13336,Right defence,550,1000
13337,Central defence,625,1925
13338,Left defence,525,1000
13339,Right attack,975,425
13340,Central attack,1025,850
13341,Left attack,950,450
13342,Indirect set pieces,Indirect set pieces,Indirect set pieces
13343,Defence,650,675
13344,Attack,575,550
13345,Match plan,Match plan,Match plan
13346,Team attitude,(Hidden),(Hidden)
13347,Tactic,Attack in the Middle,Attack in the Middle
13348,Tactic skill,21,14
13349,Style of play,100% Offensive,100% Defensive
13350,Average ratings,Average ratings,Average ratings
13351,Total player experience,525,725
13352,Average midfield,700,625
13353,Average defence,575,1300
13354,Average attack,975,575
13355,Total average,750,825
13356,Midfield,800,600
13357,Right defence,1200,1000
13358,Central defence,1050,900
13359,Left defence,1050,1225
13360,Right attack,725,825
13361,Central attack,350,1025
13362,Left attack,650,1025
13363,Indirect set pieces,Indirect set pieces,Indirect set pieces
13364,Defence,1000,800
13365,Attack,625,650
13366,Match plan,Match plan,Match plan
13367,Team attitude,(Hidden),(Hidden)
13368,Tactic,Attack on wings,Counter-attacks
13369,Tactic skill,14,6
13370,Style of play,100% Defensive,100% Defensive
13371,Average ratings,Average ratings,Average ratings
13372,Total player experience,650,800
13373,Average midfield,800,600
13374,Average defence,1100,1025
13375,Average attack,575,950
13376,Total average,825,850
13377,Midfield,900,500
13378,Right defence,900,1075
13379,Central defence,1000,1475
13380,Left defence,775,1125
13381,Right attack,750,475
13382,Central attack,675,550
13383,Left attack,575,425
13384,Indirect set pieces,Indirect set pieces,Indirect set pieces
13385,Defence,650,600
13386,Attack,575,500
13387,Match plan,Match plan,Match plan
13388,Team attitude,(Hidden),(Hidden)
13389,Tactic,Play creatively,Counter-attacks
13390,Tactic skill,13,16
13391,Style of play,Neutral,100% Defensive
13392,Average ratings,Average ratings,Average ratings
13393,Total player experience,600,400
13394,Average midfield,900,500
13395,Average defence,900,1225
13396,Average attack,675,475
13397,Total average,825,725
13398,Midfield,475,650
13399,Right defence,1075,575
13400,Central defence,1200,875
13401,Left defence,1150,350
13402,Right attack,450,450
13403,Central attack,875,975
13404,Left attack,525,850
13405,Indirect set pieces,Indirect set pieces,Indirect set pieces
13406,Defence,725,525
13407,Attack,650,550
13408,Match plan,Match plan,Match plan
13409,Team attitude,(Hidden),(Hidden)
13410,Tactic,Pressing,Attack in the Middle
13411,Tactic skill,6,18
13412,Style of play,100% Defensive,Neutral
13413,Average ratings,Average ratings,Average ratings
13414,Total player experience,750,600
13415,Average midfield,475,650
13416,Average defence,1125,600
13417,Average attack,625,750
13418,Total average,750,675
13419,Midfield,975,875
13420,Right defence,625,525
13421,Central defence,700,650
13422,Left defence,600,850
13423,Right attack,1250,975
13424,Central attack,1075,1425
13425,Left attack,1075,850
13426,Indirect set pieces,Indirect set pieces,Indirect set pieces
13427,Defence,675,625
13428,Attack,850,725
13429,Match plan,Match plan,Match plan
13430,Team attitude,(Hidden),(Hidden)
13431,Tactic,Normal,Normal
13432,Tactic skill,(no tactic),(no tactic)
13433,Style of play,Neutral,Neutral
13434,Average ratings,Average ratings,Average ratings
13435,Total player experience,525,550
13436,Average midfield,975,875
13437,Average defence,650,675
13438,Average attack,1125,1100
13439,Total average,925,875
13440,Midfield,750,975
13441,Right defence,925,1350
13442,Central defence,725,1350
13443,Left defence,650,1300
13444,Right attack,1275,525
13445,Central attack,850,550
13446,Left attack,1450,750
13447,Indirect set pieces,Indirect set pieces,Indirect set pieces
13448,Defence,700,950
13449,Attack,625,625
13450,Match plan,Match plan,Match plan
13451,Team attitude,(Hidden),(Hidden)
13452,Tactic,Attack on wings,Normal
13453,Tactic skill,13,(no tactic)
13454,Style of play,100% Offensive,100% Offensive
13455,Average ratings,Average ratings,Average ratings
13456,Total player experience,375,575
13457,Average midfield,750,975
13458,Average defence,775,1325
13459,Average attack,1175,600
13460,Total average,900,975
13461,Midfield,725,650
13462,Right defence,725,1000
13463,Central defence,1400,1025
13464,Left defence,775,600
13465,Right attack,575,650
13466,Central attack,750,550
13467,Left attack,475,550
13468,Indirect set pieces,Indirect set pieces,Indirect set pieces
13469,Defence,800,700
13470,Attack,475,600
13471,Match plan,Match plan,Match plan
13472,Team attitude,(Hidden),(Hidden)
13473,Tactic,Normal,Normal
13474,Tactic skill,(no tactic),(no tactic)
13475,Style of play,Neutral,100% Offensive
13476,Average ratings,Average ratings,Average ratings
13477,Total player experience,650,1000
13478,Average midfield,725,650
13479,Average defence,975,875
13480,Average attack,600,575
13481,Total average,775,700
13482,Midfield,725,875
13483,Right defence,525,1050
13484,Central defence,800,1500
13485,Left defence,625,1200
13486,Right attack,575,725
13487,Central attack,725,950
13488,Left attack,600,850
13489,Indirect set pieces,Indirect set pieces,Indirect set pieces
13490,Defence,600,725
13491,Attack,525,600
13492,Match plan,Match plan,Match plan
13493,Team attitude,(Hidden),(Hidden)
13494,Tactic,Attack on wings,Normal
13495,Tactic skill,16,(no tactic)
13496,Style of play,Neutral,Neutral
13497,Average ratings,Average ratings,Average ratings
13498,Total player experience,325,575
13499,Average midfield,725,875
13500,Average defence,650,1250
13501,Average attack,650,850
13502,Total average,675,1000
13503,Midfield,500,800
13504,Right defence,875,950
13505,Central defence,1000,1075
13506,Left defence,625,1125
13507,Right attack,425,850
13508,Central attack,575,925
13509,Left attack,600,500
13510,Indirect set pieces,Indirect set pieces,Indirect set pieces
13511,Defence,675,725
13512,Attack,450,575
13513,Match plan,Match plan,Match plan
13514,Team attitude,(Hidden),(Hidden)
13515,Tactic,Normal,Normal
13516,Tactic skill,(no tactic),(no tactic)
13517,Style of play,100% Offensive,Neutral
13518,Average ratings,Average ratings,Average ratings
13519,Total player experience,400,725
13520,Average midfield,500,800
13521,Average defence,825,1050
13522,Average attack,525,750
13523,Total average,625,875
13524,Midfield,750,825
13525,Right defence,1000,825
13526,Central defence,800,1375
13527,Left defence,925,875
13528,Right attack,650,625
13529,Central attack,625,900
13530,Left attack,900,450
13531,Indirect set pieces,Indirect set pieces,Indirect set pieces
13532,Defence,650,725
13533,Attack,575,525
13534,Match plan,Match plan,Match plan
13535,Team attitude,(Hidden),(Hidden)
13536,Tactic,Attack on wings,Normal
13537,Tactic skill,11,(no tactic)
13538,Style of play,100% Offensive,100% Defensive
13539,Average ratings,Average ratings,Average ratings
13540,Total player experience,525,575
13541,Average midfield,750,825
13542,Average defence,900,1025
13543,Average attack,725,650
13544,Total average,800,825
13545,Midfield,600,800
13546,Right defence,1200,1050
13547,Central defence,1400,975
13548,Left defence,1150,1025
13549,Right attack,700,950
13550,Central attack,550,1425
13551,Left attack,875,600
13552,Indirect set pieces,Indirect set pieces,Indirect set pieces
13553,Defence,875,825
13554,Attack,675,775
13555,Match plan,Match plan,Match plan
13556,Team attitude,(Hidden),(Hidden)
13557,Tactic,Counter-attacks,Normal
13558,Tactic skill,10,(no tactic)
13559,Style of play,Neutral,Neutral
13560,Average ratings,Average ratings,Average ratings
13561,Total player experience,775,750
13562,Average midfield,600,800
13563,Average defence,1250,1025
13564,Average attack,700,1000
13565,Total average,850,950
13566,Midfield,550,700
13567,Right defence,775,1350
13568,Central defence,725,1500
13569,Left defence,775,1350
13570,Right attack,750,525
13571,Central attack,775,500
13572,Left attack,700,600
13573,Indirect set pieces,Indirect set pieces,Indirect set pieces
13574,Defence,600,750
13575,Attack,475,650
13576,Match plan,Match plan,Match plan
13577,Team attitude,(Hidden),(Hidden)
13578,Tactic,Normal,Normal
13579,Tactic skill,(no tactic),(no tactic)
13580,Style of play,Neutral,Neutral
13581,Average ratings,Average ratings,Average ratings
13582,Total player experience,375,625
13583,Average midfield,550,700
13584,Average defence,750,1400
13585,Average attack,750,550
13586,Total average,675,875
13587,Midfield,1000,525
13588,Right defence,1000,975
13589,Central defence,875,1000
13590,Left defence,1000,925
13591,Right attack,925,875
13592,Central attack,775,1150
13593,Left attack,925,1000
13594,Indirect set pieces,Indirect set pieces,Indirect set pieces
13595,Defence,650,625
13596,Attack,525,650
13597,Match plan,Match plan,Match plan
13598,Team attitude,(Hidden),(Hidden)
13599,Tactic,Attack on wings,Normal
13600,Tactic skill,10,(no tactic)
13601,Style of play,Neutral,Neutral
13602,Average ratings,Average ratings,Average ratings
13603,Total player experience,525,625
13604,Average midfield,1000,525
13605,Average defence,950,975
13606,Average attack,875,1000
13607,Total average,950,825
13608,Midfield,450,950
13609,Right defence,375,1000
13610,Central defence,575,1725
13611,Left defence,575,1150
13612,Right attack,475,625
13613,Central attack,475,850
13614,Left attack,575,600
13615,Indirect set pieces,Indirect set pieces,Indirect set pieces
13616,Defence,575,825
13617,Attack,450,575
13618,Match plan,Match plan,Match plan
13619,Team attitude,(Hidden),(Hidden)
13620,Tactic,Play creatively,Normal
13621,Tactic skill,16,(no tactic)
13622,Style of play,100% Offensive,Neutral
13623,Average ratings,Average ratings,Average ratings
13624,Total player experience,650,625
13625,Average midfield,450,950
13626,Average defence,500,1300
13627,Average attack,500,700
13628,Total average,475,975
13629,Midfield,575,850
13630,Right defence,900,1100
13631,Central defence,1250,1050
13632,Left defence,1000,975
13633,Right attack,525,900
13634,Central attack,900,1125
13635,Left attack,575,775
13636,Indirect set pieces,Indirect set pieces,Indirect set pieces
13637,Defence,700,625
13638,Attack,475,600
13639,Match plan,Match plan,Match plan
13640,Team attitude,(Hidden),(Hidden)
13641,Tactic,Normal,Play creatively
13642,Tactic skill,(no tactic),18
13643,Style of play,Neutral,Neutral
13644,Average ratings,Average ratings,Average ratings
13645,Total player experience,850,850
13646,Average midfield,575,850
13647,Average defence,1050,1050
13648,Average attack,675,925
13649,Total average,775,950
13650,Midfield,875,1000
13651,Right defence,550,925
13652,Central defence,850,975
13653,Left defence,500,875
13654,Right attack,450,850
13655,Central attack,700,625
13656,Left attack,500,325
13657,Indirect set pieces,Indirect set pieces,Indirect set pieces
13658,Defence,550,650
13659,Attack,500,475
13660,Match plan,Match plan,Match plan
13661,Team attitude,(Hidden),(Hidden)
13662,Tactic,Normal,Attack on wings
13663,Tactic skill,(no tactic),19
13664,Style of play,100% Offensive,Neutral
13665,Average ratings,Average ratings,Average ratings
13666,Total player experience,450,600
13667,Average midfield,875,1000
13668,Average defence,625,925
13669,Average attack,550,600
13670,Total average,675,850
13671,Midfield,1025,775
13672,Right defence,825,1025
13673,Central defence,750,1300
13674,Left defence,725,950
13675,Right attack,650,575
13676,Central attack,875,775
13677,Left attack,675,675
13678,Indirect set pieces,Indirect set pieces,Indirect set pieces
13679,Defence,625,750
13680,Attack,650,550
13681,Match plan,Match plan,Match plan
13682,Team attitude,(Hidden),(Hidden)
13683,Tactic,Normal,Normal
13684,Tactic skill,(no tactic),(no tactic)
13685,Style of play,100% Offensive,Neutral
13686,Average ratings,Average ratings,Average ratings
13687,Total player experience,550,625
13688,Average midfield,1025,775
13689,Average defence,750,1075
13690,Average attack,725,675
13691,Total average,825,850
13692,Midfield,725,700
13693,Right defence,750,900
13694,Central defence,1000,950
13695,Left defence,650,800
13696,Right attack,700,750
13697,Central attack,825,400
13698,Left attack,625,300
13699,Indirect set pieces,Indirect set pieces,Indirect set pieces
13700,Defence,775,600
13701,Attack,575,550
13702,Match plan,Match plan,Match plan
13703,Team attitude,(Hidden),(Hidden)
13704,Tactic,Attack on wings,Pressing
13705,Tactic skill,12,6
13706,Style of play,Neutral,50% Defensive
13707,Average ratings,Average ratings,Average ratings
13708,Total player experience,725,525
13709,Average midfield,725,700
13710,Average defence,800,875
13711,Average attack,725,475
13712,Total average,750,675
13713,Midfield,550,250
13714,Right defence,925,600
13715,Central defence,1250,975
13716,Left defence,1000,975
13717,Right attack,450,825
13718,Central attack,650,600
13719,Left attack,625,725
13720,Indirect set pieces,Indirect set pieces,Indirect set pieces
13721,Defence,725,625
13722,Attack,525,600
13723,Match plan,Match plan,Match plan
13724,Team attitude,(Hidden),(Hidden)
13725,Tactic,Normal,Counter-attacks
13726,Tactic skill,(no tactic),11
13727,Style of play,100% Offensive,100% Offensive
13728,Average ratings,Average ratings,Average ratings
13729,Total player experience,700,625
13730,Average midfield,550,250
13731,Average defence,1050,850
13732,Average attack,575,725
13733,Total average,725,600
13734,Midfield,650,700
13735,Right defence,525,975
13736,Central defence,1025,1600
13737,Left defence,525,975
13738,Right attack,800,725
13739,Central attack,1275,1275
13740,Left attack,875,750
13741,Indirect set pieces,Indirect set pieces,Indirect set pieces
13742,Defence,650,750
13743,Attack,725,750
13744,Match plan,Match plan,Match plan
13745,Team attitude,(Hidden),(Hidden)
13746,Tactic,Attack in the Middle,Normal
13747,Tactic skill,11,(no tactic)
13748,Style of play,100% Offensive,Neutral
13749,Average ratings,Average ratings,Average ratings
13750,Total player experience,600,900
13751,Average midfield,650,700
13752,Average defence,675,1200
13753,Average attack,975,925
13754,Total average,775,950
13755,Midfield,850,950
13756,Right defence,750,900
13757,Central defence,1200,1050
13758,Left defence,700,1050
13759,Right attack,600,800
13760,Central attack,650,1075
13761,Left attack,575,775
13762,Indirect set pieces,Indirect set pieces,Indirect set pieces
13763,Defence,750,700
13764,Attack,600,650
13765,Match plan,Match plan,Match plan
13766,Team attitude,(Hidden),(Hidden)
13767,Tactic,Play creatively,Normal
13768,Tactic skill,14,(no tactic)
13769,Style of play,Neutral,Neutral
13770,Average ratings,Average ratings,Average ratings
13771,Total player experience,750,450
13772,Average midfield,850,950
13773,Average defence,875,1000
13774,Average attack,600,875
13775,Total average,775,950
13776,Midfield,625,750
13777,Right defence,375,625
13778,Central defence,550,875
13779,Left defence,400,550
13780,Right attack,725,650
13781,Central attack,1275,1150
13782,Left attack,750,650
13783,Indirect set pieces,Indirect set pieces,Indirect set pieces
13784,Defence,475,600
13785,Attack,675,600
13786,Match plan,Match plan,Match plan
13787,Team attitude,(Hidden),(Hidden)
13788,Tactic,Normal,Normal
13789,Tactic skill,(no tactic),(no tactic)
13790,Style of play,Neutral,100% Defensive
13791,Average ratings,Average ratings,Average ratings
13792,Total player experience,375,450
13793,Average midfield,625,750
13794,Average defence,450,675
13795,Average attack,900,825
13796,Total average,650,750
13797,Midfield,700,875
13798,Right defence,650,1425
13799,Central defence,1000,1550
13800,Left defence,725,1400
13801,Right attack,600,700
13802,Central attack,775,600
13803,Left attack,600,700
13804,Indirect set pieces,Indirect set pieces,Indirect set pieces
13805,Defence,875,900
13806,Attack,775,700
13807,Match plan,Match plan,Match plan
13808,Team attitude,(Hidden),(Hidden)
13809,Tactic,Normal,Normal
13810,Tactic skill,(no tactic),(no tactic)
13811,Style of play,100% Offensive,100% Offensive
13812,Average ratings,Average ratings,Average ratings
13813,Total player experience,825,600
13814,Average midfield,700,875
13815,Average defence,800,1450
13816,Average attack,650,675
13817,Total average,725,1000
13818,Midfield,800,725
13819,Right defence,675,1075
13820,Central defence,475,875
13821,Left defence,650,1050
13822,Right attack,975,1050
13823,Central attack,1075,1075
13824,Left attack,925,1075
13825,Indirect set pieces,Indirect set pieces,Indirect set pieces
13826,Defence,550,950
13827,Attack,575,725
13828,Match plan,Match plan,Match plan
13829,Team attitude,(Hidden),(Hidden)
13830,Tactic,Attack on wings,Attack on wings
13831,Tactic skill,17,17
13832,Style of play,Neutral,100% Offensive
13833,Average ratings,Average ratings,Average ratings
13834,Total player experience,725,700
13835,Average midfield,800,725
13836,Average defence,600,1000
13837,Average attack,1000,1075
13838,Total average,800,925
13839,Midfield,625,700
13840,Right defence,575,975
13841,Central defence,475,1625
13842,Left defence,550,950
13843,Right attack,775,875
13844,Central attack,1200,1150
13845,Left attack,875,475
13846,Indirect set pieces,Indirect set pieces,Indirect set pieces
13847,Defence,600,700
13848,Attack,600,525
13849,Match plan,Match plan,Match plan
13850,Team attitude,(Hidden),(Hidden)
13851,Tactic,Play creatively,Normal
13852,Tactic skill,15,(no tactic)
13853,Style of play,100% Offensive,Neutral
13854,Average ratings,Average ratings,Average ratings
13855,Total player experience,675,675
13856,Average midfield,625,700
13857,Average defence,525,1175
13858,Average attack,950,825
13859,Total average,700,900
13860,Midfield,775,375
13861,Right defence,1175,1500
13862,Central defence,775,1325
13863,Left defence,1175,1025
13864,Right attack,1300,600
13865,Central attack,700,525
13866,Left attack,1275,775
13867,Indirect set pieces,Indirect set pieces,Indirect set pieces
13868,Defence,825,925
13869,Attack,600,725
13870,Match plan,Match plan,Match plan
13871,Team attitude,(Hidden),(Hidden)
13872,Tactic,Attack on wings,Counter-attacks
13873,Tactic skill,15,12
13874,Style of play,Neutral,100% Defensive
13875,Average ratings,Average ratings,Average ratings
13876,Total player experience,750,600
13877,Average midfield,775,375
13878,Average defence,1050,1275
13879,Average attack,1100,625
13880,Total average,975,750
13881,Midfield,825,750
13882,Right defence,1150,750
13883,Central defence,1100,925
13884,Left defence,1050,650
13885,Right attack,800,1000
13886,Central attack,875,800
13887,Left attack,625,550
13888,Indirect set pieces,Indirect set pieces,Indirect set pieces
13889,Defence,825,850
13890,Attack,725,625
13891,Match plan,Match plan,Match plan
13892,Team attitude,(Hidden),(Hidden)
13893,Tactic,Normal,Attack on wings
13894,Tactic skill,(no tactic),17
13895,Style of play,Neutral,100% Offensive
13896,Average ratings,Average ratings,Average ratings
13897,Total player experience,975,925
13898,Average midfield,825,750
13899,Average defence,1100,775
13900,Average attack,750,775
13901,Total average,900,775
13902,Midfield,725,650
13903,Right defence,1025,1225
13904,Central defence,925,1775
13905,Left defence,1025,975
13906,Right attack,900,725
13907,Central attack,1525,475
13908,Left attack,1000,300
13909,Indirect set pieces,Indirect set pieces,Indirect set pieces
13910,Defence,900,1025
13911,Attack,800,600
13912,Match plan,Match plan,Match plan
13913,Team attitude,(Hidden),(Hidden)
13914,Tactic,Normal,Normal
13915,Tactic skill,(no tactic),(no tactic)
13916,Style of play,100% Offensive,Neutral
13917,Average ratings,Average ratings,Average ratings
13918,Total player experience,525,1025
13919,Average midfield,725,650
13920,Average defence,1000,1325
13921,Average attack,1150,500
13922,Total average,950,825
13923,Midfield,1000,525
13924,Right defence,1000,1075
13925,Central defence,1375,1050
13926,Left defence,850,1025
13927,Right attack,725,950
13928,Central attack,1050,975
13929,Left attack,750,950
13930,Indirect set pieces,Indirect set pieces,Indirect set pieces
13931,Defence,900,825
13932,Attack,750,775
13933,Match plan,Match plan,Match plan
13934,Team attitude,(Hidden),(Hidden)
13935,Tactic,Normal,Attack on wings
13936,Tactic skill,(no tactic),24
13937,Style of play,Neutral,100% Offensive
13938,Average ratings,Average ratings,Average ratings
13939,Total player experience,600,675
13940,Average midfield,1000,525
13941,Average defence,1075,1050
13942,Average attack,825,950
13943,Total average,975,850
13944,Midfield,475,275
13945,Right defence,625,1275
13946,Central defence,575,1425
13947,Left defence,550,1250
13948,Right attack,475,850
13949,Central attack,600,425
13950,Left attack,475,725
13951,Indirect set pieces,Indirect set pieces,Indirect set pieces
13952,Defence,600,800
13953,Attack,600,525
13954,Match plan,Match plan,Match plan
13955,Team attitude,(Hidden),(Hidden)
13956,Tactic,Normal,Normal
13957,Tactic skill,(no tactic),(no tactic)
13958,Style of play,Neutral,Neutral
13959,Average ratings,Average ratings,Average ratings
13960,Total player experience,425,425
13961,Average midfield,475,275
13962,Average defence,575,1325
13963,Average attack,500,650
13964,Total average,525,750
13965,Midfield,675,925
13966,Right defence,725,725
13967,Central defence,950,1150
13968,Left defence,950,650
13969,Right attack,500,500
13970,Central attack,425,925
13971,Left attack,400,500
13972,Indirect set pieces,Indirect set pieces,Indirect set pieces
13973,Defence,575,625
13974,Attack,600,550
13975,Match plan,Match plan,Match plan
13976,Team attitude,(Hidden),(Hidden)
13977,Tactic,Normal,Play creatively
13978,Tactic skill,(no tactic),15
13979,Style of play,Neutral,100% Offensive
13980,Average ratings,Average ratings,Average ratings
13981,Total player experience,275,625
13982,Average midfield,675,925
13983,Average defence,875,850
13984,Average attack,450,650
13985,Total average,675,800
13986,Midfield,600,450
13987,Right defence,575,800
13988,Central defence,725,875
13989,Left defence,550,750
13990,Right attack,500,225
13991,Central attack,650,325
13992,Left attack,525,325
13993,Indirect set pieces,Indirect set pieces,Indirect set pieces
13994,Defence,650,600
13995,Attack,525,550
13996,Match plan,Match plan,Match plan
13997,Team attitude,(Hidden),(Hidden)
13998,Tactic,Normal,Attack in the Middle
13999,Tactic skill,(no tactic),9
14000,Style of play,Neutral,100% Defensive
14001,Average ratings,Average ratings,Average ratings
14002,Total player experience,475,525
14003,Average midfield,600,450
14004,Average defence,625,800
14005,Average attack,575,300
14006,Total average,600,525
14007,Midfield,950,625
14008,Right defence,900,725
14009,Central defence,1525,1350
14010,Left defence,850,625
14011,Right attack,675,750
14012,Central attack,1000,1175
14013,Left attack,700,500
14014,Indirect set pieces,Indirect set pieces,Indirect set pieces
14015,Defence,750,850
14016,Attack,575,900
14017,Match plan,Match plan,Match plan
14018,Team attitude,(Hidden),(Hidden)
14019,Tactic,Normal,Attack in the Middle
14020,Tactic skill,(no tactic),16
14021,Style of play,Neutral,100% Defensive
14022,Average ratings,Average ratings,Average ratings
14023,Total player experience,600,625
14024,Average midfield,950,625
14025,Average defence,1100,900
14026,Average attack,800,800
14027,Total average,950,775
14028,Midfield,675,500
14029,Right defence,625,925
14030,Central defence,1025,925
14031,Left defence,600,800
14032,Right attack,500,750
14033,Central attack,625,1000
14034,Left attack,525,700
14035,Indirect set pieces,Indirect set pieces,Indirect set pieces
14036,Defence,575,925
14037,Attack,550,775
14038,Match plan,Match plan,Match plan
14039,Team attitude,(Hidden),(Hidden)
14040,Tactic,Play creatively,Normal
14041,Tactic skill,13,(no tactic)
14042,Style of play,Neutral,100% Offensive
14043,Average ratings,Average ratings,Average ratings
14044,Total player experience,475,675
14045,Average midfield,675,500
14046,Average defence,750,875
14047,Average attack,550,825
14048,Total average,650,725
14049,Midfield,525,750
14050,Right defence,550,900
14051,Central defence,625,1375
14052,Left defence,600,800
